Player,Tm,Pos,Salary,WS_actual,VORP,PER,BPM,ValueIndex,$/WS_calc,PPG,RPG,APG,DWS,DBPM
jacob nazarian,Giants,PG/SG,0,9.4,4.4,17.0,4.8,,0.0,11.1,5.7,7.6,3.2,-0.1
jeron davis,Jailbirds,SF,0,3.1,1.1,13.1,0.2,,0.0,10.0,3.0,2.5,1.8,-0.1
quinn alston,Stonecutters,SF/SG,0,3.8,2.3,19.2,1.7,,0.0,20.2,3.2,4.1,2.4,2.4
giannis kapnopoulos,Jaguars,SF,0,3.2,1.5,18.3,1.4,,0.0,12.4,4.0,3.3,2.1,2.8
vitaliy mccarty,Kings,SF/SG,0,1.6,0.9,16.0,2.8,,0.0,8.6,2.7,2.2,1.2,0.1
caius thompson,Renegades,C,0,10.2,3.9,14.7,3.9,,0.0,9.3,10.7,2.1,4.2,1.1
jaaron hyde,Saints,SG,0,-0.8,-0.4,18.2,-3.2,,-0.0,13.1,2.6,1.5,0.5,1.0
andre sawyer,Tritons,SG/SF,0,7.0,1.9,18.3,0.9,,0.0,18.2,3.1,3.8,2.4,0.8
norville ivany,Vipers,PF,0,2.3,1.4,13.5,3.7,,0.0,6.8,4.0,1.5,1.1,1.0
marshall bankhead,Free Agent,PG,0,4.0,1.0,17.4,0.5,,0.0,10.2,1.3,4.5,1.0,-2.7
t.j. kyungu,Free Agent,SF/SG,0,1.7,0.6,15.2,-0.4,,0.0,10.4,2.9,2.3,1.9,0.8
yuri maksimov,Free Agent,SG,0,0.7,0.3,18.3,3.5,,0.0,8.0,2.6,1.9,0.2,0.0
adam hines,Rockets,SF,0,5.4,2.9,16.2,3.0,,0.0,14.6,5.4,3.4,3.0,1.3
jaxson booker,Stonecutters,PG,0,4.7,1.2,19.5,1.4,,0.0,10.0,1.9,4.4,0.7,-1.8
jonny caruthers,Free Agent,PG,0,0.2,0.0,12.1,-2.6,,0.0,5.6,1.4,3.1,0.1,-2.9
coty sima,Free Agent,C,0,0.2,0.0,19.5,1.9,,0.0,3.3,2.8,0.5,0.1,1.8
devon walton,Free Agent,C/PF,0,0.5,0.0,15.0,-2.0,,0.0,2.4,1.4,0.1,0.3,-1.3
dallan owusu,Lightning,SF,0,4.5,1.0,16.5,-0.4,,0.0,16.2,3.0,3.9,2.1,1.7
dj mccants,Lumberjacks,SF/SG,0,2.8,0.8,14.5,0.4,,0.0,6.9,2.9,2.5,1.7,0.5
kaimyn fry,Skyhawks,C/PF,0,6.2,1.4,14.6,0.5,,0.0,9.8,8.2,1.1,3.1,2.0
myles lammers,Thunder,PF,0,1.0,0.4,13.2,2.6,,0.0,1.6,2.7,0.7,0.5,1.4
hilton phillips jr,Vultures,PG,0,6.8,1.2,19.3,0.0,,0.0,14.4,2.2,8.1,0.9,-2.3
marc nkusu,Dragons,PF,0,1.7,0.7,11.5,1.2,,0.0,3.8,4.3,0.7,1.0,1.1
riki azpeitia,Free Agent,SF,0,0.5,0.1,13.0,0.4,,0.0,4.5,1.8,1.0,0.3,-1.7
kennon fiedler,Free Agent,C,0,3.5,0.8,16.3,0.3,,0.0,9.2,6.6,0.8,1.6,1.9
martez mastern,Free Agent,C,0,1.3,-0.2,13.9,-3.4,,0.0,6.7,6.1,0.8,1.1,1.0
tommy mock,Free Agent,C,0,7.8,3.6,14.4,3.6,,0.0,10.9,9.7,1.2,4.0,1.1
ikenna hall,Thunder,SG,0,1.7,0.7,13.5,2.4,,0.0,4.4,2.3,1.2,0.5,-1.4
antoine daniels,Blizzards,SF,0,2.9,1.6,17.0,0.7,,0.0,16.7,3.7,3.8,1.1,2.1
conner pearson,Blizzards,C/PF,0,5.7,1.8,14.0,1.2,,0.0,6.9,9.4,1.8,1.5,1.6
duane johnson,Free Agent,PF,0,0.0,0.0,24.8,-9.7,,,4.0,0.0,0.0,0.0,-5.8
mario moore,Free Agent,SG,0,2.7,0.9,14.4,1.0,,0.0,6.2,2.0,2.1,1.3,-1.2
danny winchester,Free Agent,PF,0,0.6,0.3,13.6,0.9,,0.0,6.8,3.9,1.1,0.8,0.3
mandela marsh-kittrell,Free Agent,PG,0,0.3,0.0,12.4,-1.4,,0.0,2.7,0.7,1.7,0.4,-1.9
ruben miramontes,Free Agent,SF/SG,0,0.3,0.2,12.6,-0.7,,0.0,8.0,2.3,1.7,0.6,-0.3
tahj rallis,Free Agent,SG,0,1.9,0.9,13.4,0.1,,0.0,9.1,2.3,2.3,0.9,-0.4
temple timmerman,Free Agent,SG/SF,0,0.3,0.1,17.3,0.2,,0.0,3.0,0.9,0.7,0.2,-0.1
cheddi pellerin,Giants,PF/C,0,2.1,1.0,15.0,3.1,,0.0,5.1,4.6,1.0,1.3,1.6
terrell stewart,Predators,PG,0,5.5,2.3,19.1,5.6,,0.0,5.7,2.5,4.6,1.8,-1.1
arif langston,Skyhawks,SG,0,3.8,1.8,19.2,2.4,,0.0,13.8,3.7,1.4,1.9,1.3
trace mcavoy,Barons,PF/C,0,0.8,0.4,14.9,0.1,,0.0,7.9,3.3,1.1,0.8,0.8
davide deangelo,Devils,SF,0,0.2,0.0,16.2,0.0,,0.0,4.8,0.9,0.9,0.0,-1.5
corbin nealy,Dragons,PF,0,-0.5,-0.8,10.8,-6.7,,-0.0,6.7,3.5,0.6,0.3,0.2
willie bennett,Free Agent,SF,0,0.8,0.5,21.9,5.7,,0.0,9.9,1.7,1.8,0.3,-0.1
scoochie hope,Free Agent,PG/SG,0,0.1,0.1,15.3,0.0,,0.0,4.3,1.2,1.3,0.1,-0.2
cade shelton,Free Agent,SF/SG,0,-0.1,-0.1,10.9,-4.3,,-0.0,2.8,1.0,0.4,0.1,-1.4
auston turner,Free Agent,SF,0,1.0,0.5,14.4,1.1,,0.0,5.4,1.6,1.1,0.7,-1.1
yanis lopes,Huskies,C/PF,0,0.0,0.0,0.0,-18.7,,,1.0,0.7,0.0,0.0,-8.8
chibueze gates,Lumberjacks,PF,0,2.4,1.3,16.0,4.5,,0.0,6.4,3.8,1.1,1.1,1.4
